OSD186	ERR771028	Illumina
OSD185	ERR771029	Illumina
OSD184	ERR771030	Illumina
OSD183	ERR771031	Illumina
OSD182	ERR771032	Illumina
OSD178	ERR771034	Illumina
OSD177	ERR771035	Illumina
OSD176	ERR771036	Illumina
OSD175	ERR771037	Illumina
OSD174	ERR771038	Illumina
OSD173	ERR771039	Illumina
OSD172	ERR771040	Illumina
OSD171	ERR771041	Illumina
OSD170	ERR771042	Illumina
OSD169	ERR771044	Illumina
OSD168	ERR771045	Illumina
OSD167	ERR771046	Illumina
OSD166	ERR771047	Illumina
OSD165	ERR771048	Illumina
OSD163	ERR771049	Illumina
OSD162	ERR771050	Illumina
OSD159	ERR771051	Illumina
OSD158	ERR771052	Illumina
OSD157	ERR771053	Illumina
OSD156	ERR771054	Illumina
OSD155	ERR771055	Illumina
OSD154	ERR771056	Illumina
OSD153	ERR771057	Illumina
OSD152-1	ERR771059	Illumina
OSD152-5	ERR771058	Illumina
OSD148	ERR771065	Illumina
OSD147	ERR771066	Illumina
OSD146	ERR771067	Illumina
OSD145	ERR771068	Illumina
OSD144	ERR771069	Illumina
OSD143	ERR771070	Illumina
OSD142	ERR771071	Illumina
OSD141	ERR771072	Illumina
OSD133	ERR771074	Illumina
OSD132	ERR771075	Illumina
OSD131	ERR771076	Illumina
OSD130	ERR771077	Illumina
OSD129	ERR771079	Illumina
OSD128	ERR771080	Illumina
OSD127	ERR771081	Illumina
OSD126	ERR771082	Illumina
OSD125	ERR771083	Illumina
OSD124	ERR771084	Illumina
OSD123	ERR771085	Illumina
OSD122	ERR771086	Illumina
OSD118	ERR771087	Illumina
OSD117	ERR771088	Illumina
OSD116	ERR771089	Illumina
OSD115	ERR771090	Illumina
OSD114	ERR771091	Illumina
OSD111	ERR771093	Illumina
OSD110	ERR771094	Illumina
OSD109	ERR771095	Illumina
OSD108	ERR771096	Illumina
OSD107	ERR771097	Illumina
OSD106-15	ERR771098	Illumina
OSD106-0	ERR771099	Illumina
OSD105	ERR771100	Illumina
OSD103	ERR771101	Illumina
OSD102	ERR771102	Illumina
OSD101	ERR771103	Illumina
OSD100	ERR771104	Illumina
OSD99	ERR770958	Illumina
OSD98	ERR770959	Illumina
OSD97	ERR770960	Illumina
OSD96	ERR770961	Illumina
OSD95	ERR770962	Illumina
OSD94	ERR770963	Illumina
OSD93	ERR770964	Illumina
OSD92	ERR770965	Illumina
OSD91	ERR770966	Illumina
OSD90	ERR770967	Illumina
OSD81	ERR770969	Illumina
OSD80-2	ERR770970	Illumina
OSD80-0	ERR770971	Illumina
OSD78	ERR770972	Illumina
OSD77	ERR770973	Illumina
OSD76	ERR770974	Illumina
OSD74	ERR770975	Illumina
OSD73	ERR770976	Illumina
OSD72	ERR770977	Illumina
OSD71	ERR770978	Illumina
OSD70	ERR770979	Illumina
OSD69	ERR770981	Illumina
OSD65	ERR770982	Illumina
OSD64	ERR770983	Illumina
OSD63	ERR770984	Illumina
OSD62	ERR770985	Illumina
OSD61	ERR770986	Illumina
OSD60	ERR770987	Illumina
OSD58	ERR770989	Illumina
OSD57	ERR770990	Illumina
OSD56	ERR770991	Illumina
OSD55	ERR770992	Illumina
OSD54	ERR770993	Illumina
OSD53	ERR770994	Illumina
OSD52	ERR770995	Illumina
OSD51	ERR770996	Illumina
OSD50	ERR770997	Illumina
OSD49	ERR771000	Illumina
OSD48	ERR771001	Illumina
OSD47	ERR771002	Illumina
OSD46	ERR771003	Illumina
OSD45	ERR771004	Illumina
OSD43	ERR771005	Illumina
OSD42	ERR771006	Illumina
OSD41	ERR771007	Illumina
OSD39	ERR771009	Illumina
OSD38	ERR771010	Illumina
OSD37	ERR771011	Illumina
OSD36	ERR771012	Illumina
OSD35	ERR771013	Illumina
OSD34	ERR771014	Illumina
OSD29	ERR771017	Illumina
OSD28	ERR771018	Illumina
OSD26	ERR771019	Illumina
OSD25	ERR771020	Illumina
OSD24	ERR771021	Illumina
OSD22	ERR771022	Illumina
OSD20-0	ERR771024	Illumina
OSD20-20	ERR771025	Illumina
OSD19	ERR771027	Illumina
OSD18	ERR771033	Illumina
OSD17	ERR771043	Illumina
OSD15-50	ERR771063	Illumina
OSD15-0	ERR771062	Illumina
OSD14	ERR771073	Illumina
OSD13	ERR771078	Illumina
OSD10	ERR771105	Illumina
OSD9	ERR770968	Illumina
OSD7	ERR770980	Illumina
OSD5-75	ERR770998	Illumina
OSD5-1	ERR770999	Illumina
OSD4	ERR771008	Illumina
OSD3	ERR771016	Illumina
OSD2	ERR771026	Illumina
OSD1	ERR771106	Illumina
OSD30	ERR771015	Illumina
OSD113	ERR771092	Illumina
OSD151	ERR771060	Illumina
OSD21	ERR771023	Illumina
OSD150	ERR771061	Illumina
OSD6	ERR770988	Illumina
OSD149	ERR771064	Illumina
OSD164	ERR855786	Illumina
TARA_155_5m_0.22-3_prok	ERR3589591	Illumina
TARA_155_751m_0.22-3_prok	ERR3589584	Illumina
TARA_155_40m_0.22-3_prok	ERR3589583	Illumina
TARA_158_5m_0.22-3_prok	ERR3589592	Illumina
TARA_158_25m_0.22-3_prok	ERR3589564	Illumina
TARA_158_651m_0.22-3_prok	ERR3589585	Illumina
TARA_163_5m_0.22-3_prok	ERR3589586	Illumina
TARA_163_499m_0.22-3_prok	ERR3589593	Illumina
TARA_168_5m_0.22-3_prok	ERR3589588	Illumina
TARA_168_40m_0.22-3_prok	ERR3589565	Illumina
TARA_168_10-100m_0.22-3_prok	ERR3589587	Illumina
TARA_173_5m_0.22-3_prok	ERR3589566	Illumina
TARA_173_35m_0.22-3_prok	ERR3589553	Illumina
TARA_175_5m_0.22-3_prok	ERR3589577	Illumina
TARA_175_199m_0.22-3_prok	ERR3589567	Illumina
TARA_175_10-100m_0.22-3_prok	ERR3589589	Illumina
TARA_178_5m_0.22-3_prok	ERR3589590	Illumina
TARA_180_5m_0.22-3_prok	ERR3589568	Illumina
TARA_180_30m_0.22-3_prok	ERR3589578	Illumina
TARA_188_5m_0.22-3_prok	ERR3589554	Illumina
TARA_188_17m_0.22-3_prok	ERR3589579	Illumina
TARA_189_5m_0.22-3_prok	ERR3589555	Illumina
